origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
ELPOTOSI,46386,ALFA ROMEO,147,2004,"2.0 LTS. SELESPEED, STD 2 PTAS 5 OCUP , 4 CIL, A/A, E/E, TELA, B/A",MANUAL,1
ELPOTOSI,46385,ALFA ROMEO,147,2004,"2.0L R-16 CA CE, STD 3 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL",AUTO,1
ELPOTOSI,46384,ALFA ROMEO,147,2005,"2.0 LTS SELESPEED SRAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46382,ALFA ROMEO,147,2005,"2.0 LTS. SELESPEED SPORTAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,46379,ALFA ROMEO,147,2005,"2.0 LTS. SELESPEED SPORTAUT 2 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,46375,ALFA ROMEO,147,2005,"2.0 LTS. SELESPEEDAUT 2 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46377,ALFA ROMEO,147,2005,"2.0 LST SELESPEEDAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46380,ALFA ROMEO,147,2007,"2.0 LTS. SELESPEED SPORTAUT 2 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,46389,ALFA ROMEO,156,2004,"2.0 LTS SELESPEEDAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,46387,ALFA ROMEO,156,2004,"2.0 LTS SELESPEEDAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46391,ALFA ROMEO,156,2004,"SELESPEED SPORTN/A4 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",,1
ELPOTOSI,46390,ALFA ROMEO,156,2005,"2.0 LTS SELESPEEDAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,46392,ALFA ROMEO,156,2015,"SELESPEED SPORTN/A4 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",,1
ELPOTOSI,46388,ALFA ROMEO,156,2020,"2.0 LTS SELESPEEDAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46393,ALFA ROMEO,159,2007,"JTS SS SELESPEDDAUT 4 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46397,ALFA ROMEO,159,2007,"SPORT PLUS AWDAUT 4 PTAS 5 OCUP , 6 CIL, A/A, E/E, TELA, Q/C, B/A",AUTO,1
ELPOTOSI,46398,ALFA ROMEO,159,2008,"SPORT PLUS AWDAUT 4 PTAS 5 OCUP , 6 CIL, A/A, E/E, TELA, Q/C, B/A",AUTO,1
ELPOTOSI,46394,ALFA ROMEO,159,2008,"JTS SS SELESPEDDAUT 4 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46395,ALFA ROMEO,159,2012,"JTS SS SELESPEDDAUT 4 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46399,ALFA ROMEO,159,2012,"SPORT PLUS AWDAUT 4 PTAS 5 OCUP , 6 CIL, A/A, E/E, TELA, Q/C, B/A",AUTO,1
ELPOTOSI,46396,ALFA ROMEO,159,2013,"JTS SS SELESPEDDAUT 4 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46504,ALFA ROMEO,4C,2016,"COMPETIZIONE 1.8AUT 2 PTAS 2 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46505,ALFA ROMEO,4C,2017,"COMPETIZIONE 1.8AUT 2 PTAS 2 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,48031,ALFA ROMEO,GIULIA,2017,"TI 2.0LAUT 4 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48032,ALFA ROMEO,GIULIA,2017,"QVAUT 4 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,48033,ALFA ROMEO,GIULIETTA,2012,"HB 1.5L, STD 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",MANUAL,1
ELPOTOSI,48034,ALFA ROMEO,GIULIETTA,2013,"HB 1.5L, STD 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",MANUAL,1
ELPOTOSI,48035,ALFA ROMEO,GIULIETTA,2016,"HB 1.5L, STD 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",MANUAL,1
ELPOTOSI,48039,ALFA ROMEO,GIULIETTA,2016,"VELOCEAUT 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48040,ALFA ROMEO,GIULIETTA,2017,"VELOCEAUT 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48036,ALFA ROMEO,GIULIETTA,2017,"HB 1.5L, STD 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",MANUAL,1
ELPOTOSI,48037,ALFA ROMEO,GIULIETTA,2018,"HB 1.5L, STD 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",MANUAL,1
ELPOTOSI,48041,ALFA ROMEO,GIULIETTA,2018,"VELOCEAUT 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48042,ALFA ROMEO,GIULIETTA,2019,"VELOCEAUT 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48043,ALFA ROMEO,GIULIETTA,2020,"VELOCEAUT 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48044,ALFA ROMEO,GIULIETTA,2021,"VELOCEAUT 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48038,ALFA ROMEO,GIULIETTA,2021,"HB 1.5L, STD 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",MANUAL,1
ELPOTOSI,46373,ALFA ROMEO,GL,2006,"GTSAUT 5 OCUP , , 0",AUTO,1
ELPOTOSI,48117,ALFA ROMEO,GT,2006,"2.0AUT 2 PTAS 2 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48118,ALFA ROMEO,GT,2007,"2.0AUT 2 PTAS 2 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48119,ALFA ROMEO,GT,2008,"2.0AUT 2 PTAS 2 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
